"DateAware","DateSubmitted","DataBreachCause","DateStart","DateEnd","Name","Id","CyberattackType","WashingtoniansAffected","IndustryType","BusinessType","Year","YearText","WashingtoniansAffectedRange","BreachLifecycleRange","DaysToContainBreach","DaysToIdentifyBreach","DaysBreachLifecycle","DiscoveredInProgress","DaysOfExposure","DaysElapsedBetweenEndAndDiscovery","EndedOnDayDiscovered","DaysElapsedBeforeNotification","DaysOfExposureRange","EntityState"
"2022 Oct 30 12:00:00 AM","2023 Mar 31 12:00:00 AM","Cyberattack","2022 Oct 28 12:00:00 AM","2022 Oct 29 12:00:00 AM","Southwest Healthcare Services ","14,899","Ransomware","1,225","Health",,"2,023","2023","1,000-9,999","1-99","0","2","2","false","1","1","false","152","1-99","ND"
"2023 Feb 13 12:00:00 AM","2023 Mar 30 12:00:00 AM","Cyberattack","2022 Dec 10 12:00:00 AM","2023 Mar 17 12:00:00 AM","TMX Finance Corporate Services, Inc. & affiliates","14,893","Malware","571","Finance",,"2,023","2023","500-999","1-99","32","65","97","true","97",,"false","45","1-99","GA"
"2022 Nov 16 12:00:00 AM","2023 Mar 30 12:00:00 AM","Theft or Mistake","2022 Jul 13 12:00:00 AM","2022 Dec 09 12:00:00 AM","Svanaco, Inc. dba Americaneagle.com","14,892",,"1,475","Business","Software","2,023","2023","1,000-9,999","100-199","23","126","149","true","149",,"false","134","100-199","IL"
"2023 Feb 04 12:00:00 AM","2023 Mar 24 12:00:00 AM","Unauthorized Access","2023 Feb 01 12:00:00 AM","2023 Feb 06 12:00:00 AM","Bank of America, N.A. concerning breach at NCB Manag. Serv. ","14,891",,"12,510","Finance",,"2,023","2023","10,000-49,999","1-99","2","3","5","true","5",,"false","48","1-99","PA"
"2022 Nov 18 12:00:00 AM","2023 Mar 14 12:00:00 AM","Theft or Mistake","2016 Sep 30 12:00:00 AM","2022 Nov 18 12:00:00 AM","mscripts, LLC","14,864",,"1,394","Health",,"2,023","2023","1,000-9,999","500+","0","2,240","2,240","true","2,240",,"true","116","500+","CA"
"2023 Feb 18 12:00:00 AM","2023 Mar 14 12:00:00 AM","Unauthorized Access","2023 Jan 08 12:00:00 AM","2023 Feb 28 12:00:00 AM","Allstate Insurance Company","14,863",,"561","Business","Other","2,023","2023","500-999","1-99","10","41","51","true","51",,"false","24","1-99","IL"
"2022 Nov 11 12:00:00 AM","2023 Mar 14 12:00:00 AM","Theft or Mistake","2022 Oct 27 12:00:00 AM","2022 Oct 27 12:00:00 AM","Art Center Inc. dba Northwest College of Art & Design","14,862",,"1,081","Education",,"2,023","2023","1,000-9,999","1-99","0","15","15","false","0","15","false","123","0","WA"
"2022 Jul 05 12:00:00 AM","2023 Mar 14 12:00:00 AM","Cyberattack","2022 Jun 30 12:00:00 AM","2022 Jul 05 12:00:00 AM","Independent Living Systems, LLC","14,861","Ransomware","6,017","Health",,"2,023","2023","1,000-9,999","1-99","0","5","5","true","5",,"true","252","1-99","FL"
"2023 Jan 28 12:00:00 AM","2023 Mar 10 12:00:00 AM","Cyberattack","2023 Jan 28 12:00:00 AM","2023 Jan 29 12:00:00 AM","ZOLL Medical Corporation ","14,860","Other","6,176","Health",,"2,023","2023","1,000-9,999","1-99","1","0","1","true","1",,"false","41","1-99","WA"
"2023 Feb 02 12:00:00 AM","2023 Mar 07 12:00:00 AM","Cyberattack","2023 Jan 28 12:00:00 AM","2023 Jan 30 12:00:00 AM","CHSPSC, LLC ","14,858","Other","559","Health",,"2,023","2023","500-999","1-99","0","5","5","false","2","3","false","33","1-99","TN"
